Name of Borrower,Civil Status,Date of Birth,Place of Birth,Citizenship,Home Address,Home Address Ownership,Government Issued ID,Mobile No.,Email,Mother’s Maiden Name,Registered Business Name,Principal Business Address,Business Address Ownership,Years in Operation,Website/Social Media,Land Size (hectares),Annual Sales/Revenue,Loan Amount Applied For,Tenor (months),Repayment Frequency,Loan Facility,Loan Purpose,Type of Loan,Collateral,Source of Funds,Primary Crop Type,Farming Method,Irrigation Practices,Fertilizer & Pesticide Use,Soil & Water Conservation,Use of Renewable Energy,Employment (Workers),Fair Wages,Community Participation,Training & Education,Inclusivity,Record-Keeping,Certifications,Regular Buyers,Business Compliance,Environmental Score,Social Score,Governance Score,Business Score,Financial Score,AgriScore,Risk Category,Improvement Tips
Allison Hill,Single,11/01/1974,Jill Ville,Filipino,"489 Robinson Road, Angadanan, 4148 Catanduanes",Owned (unencumbered),PhilSys-5506-5012,09321819600,lrobinson@example.com,Pacheco,Smith Farm,"6th Floor Lewis Place Tower 2, 1520 Banahaw Drive Extension, Luba, 8483 Zamboanga del Sur",Owned (unencumbered),7,facebook.com/williamsfarm,3.09,731262,63912,24,Lump sum,Term Loan,Construction/Development of real estate,Secured Loan,Others,Savings,Rice (Irrigated),Organic,Sprinkler,Synthetic,Mulching,Yes,3,No,Coop Member,Attended training,Employs women,Manual,GAP,Supermarket,DTI,27,11,9,8,15,70,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Calvin Nielsen,Single,01/03/1965,Maria Ville,Filipino,"Unit 215 Turquoise Condominiums Tower 2, 6228 Peridot Road, Magarao, 2516 Mountain Province",Living with relatives,PhilSys-9785-3045,09618495931,jason41@example.net,Reid,Ferguson Farm,"Block 09 Lot 82 Zodiac Drive, Peridot Grove 1, Lapinig, 3493 Isabela",Owned (unencumbered),22,facebook.com/jonesfarm,3.05,403445,91833,24,Weekly,Term Loan,Acquisition of real estate,Secured Loan,Warehouse receipt,Asset Sale,Vegetables,Mixed,Flood,Combination,Mulching,Yes,9,Yes,Not involved,Attended training,Female-led,Digital,Barangay Certificate,Supermarket,Barangay Clearance,18,13,11,10,16,68,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Latoya Robbins,Separated,02/11/1974,Randall Ville,Filipino,"8831 I Sunstone Extension, Silvino Lobos, 3485 Mountain Province",Owned (unencumbered),PhilSys-4752-1525,09564139537,wendytaylor@example.com,Davis,Williams Farm,"Room 2728 Cruz Towers 8, 8670 Sardonyx Street, Caloocan, 1793 Metro Manila",Living with relatives,29,facebook.com/lefarm,9.23,581141,124905,36,Monthly,Credit line,Purchase of equipment/motor vehicles,Secured Loan,Others,Inheritance,Corn,Transitioning to Organic,Drip,Organic,Composting,No,1,Yes,Coop Member,Attended training,None,Manual,Barangay Certificate,Local sari-sari stores,None,26,15,4,14,15,74,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Kimberly Adams,Widow/er,10/18/1982,Kelly Ville,Filipino,"48F Romero Building 5, 8318 Calantas Boulevard, Catanauan, 4059 Rizal",Living with relatives,PhilSys-9669-5119,09801845146,georgetracy@example.org,Hickman,Koch Farm,"B02 L31 Miller Village, Spence Road, Cabagan, 7525 Surigao del Norte",Owned (mortgaged),15,facebook.com/alvarezfarm,1.03,857168,427319,36,Lump sum,Credit line,Business expansion,Unsecured Loan,Warehouse receipt,Others,Corn,Organic,Flood,Synthetic,Composting,Yes,9,No,Supplier to community,Attended training,Female-led,Digital,GAP,Rice mill,Business Plan,24,10,11,8,12,65,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Deborah Brennan,Married,06/10/1988,Sarah Ville,Filipino,"Block 15 Lot 67 Banahaw Drive, Morgan Village Phase 4, Sirawai, 6151 Aklan",Owned (unencumbered),PhilSys-2403-8962,09182278248,zimmermanbrian@example.org,Whitehead,Heath Farm,"3511-H Banaba Street, Taguig, 0897 Metro Manila",Living with relatives,7,facebook.com/muellerfarm,9.36,891952,432694,24,Quarterly,Term Loan,Purchase of equipment/motor vehicles,Secured Loan,None,Salary/Allowance,Fruits,Conventional,Flood,Organic,Crop Rotation,No,0,Yes,Not involved,Attended training,Female-led,Manual,Organic,Rice mill,Business Plan,15,13,9,11,12,60,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Cheryl Davis,Single,12/23/1988,Rodney Ville,Filipino,"1613 Powell Drive, Borongan, 8418 Cotabato",Rented,PhilSys-2160-9423,09347382997,amandataylor@example.org,Ramirez,Wright Farm,"B02 L84 Agoho Street, Martin Village, Patnongon, 8275 Lanao del Norte",Owned (mortgaged),26,facebook.com/barrerafarm,5.26,526833,149829,12,Weekly,Term Loan,Acquisition of real estate,Secured Loan,None,Inheritance,Coconut,Conventional,Rain-fed,Organic,Water-Saving,No,1,Yes,Coop Member,Attended training,None,Digital,Fair Trade,None,Barangay Clearance,12,15,11,9,14,61,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Aaron Myers,Separated,08/11/1990,Rodney Ville,Filipino,"B02 L75 Adkins Cove 1, Lawaan Road, San Benito, 2494 Aurora",Living with relatives,PhilSys-5092-2235,09781080132,yorkcasey@example.org,Leonard,Young Farm,"4034 Narra Avenue, Barnes Village 6, Navotas, 0818 Metro Manila",Living with relatives,16,facebook.com/santiagofarm,5.33,520521,80741,24,Annually,Credit line,Loan takeout/refinancing,Secured Loan,None,Savings,Fruits,Transitioning to Organic,Flood,Organic,Mulching,Yes,0,Yes,Not involved,No training,Female-led,Manual,None,None,Barangay Clearance,23,9,7,7,12,58,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Derek Anderson,Single,01/23/1980,Leslie Ville,Filipino,"9225 Jones Drive, Kanlaon Homes Phase 2, Muntinlupa, 1156 Metro Manila",Owned (unencumbered),PhilSys-4044-2122,09913619399,eric84@example.net,Riggs,Roman Farm,"42F Mcmillan Building Tower 5, 1892 Newton Boulevard, Kabacan, 4327 Cavite",Owned (unencumbered),20,facebook.com/robbinsfarm,1.74,789305,356012,36,Quarterly,Credit line,Purchase of equipment/motor vehicles,Secured Loan,Tractor,Savings,Fruits,Organic,Drip,Synthetic,Mulching,Yes,0,No,Not involved,Attended training,Female-led,None,Fair Trade,Supermarket,Barangay Clearance,27,7,7,9,12,62,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Mark Baker,Separated,11/21/1992,Rebecca Ville,Filipino,"Block 02 Lot 01 Citrine Road, Pao Subdivision Phase 9, Quezon City, 1548 Metro Manila",Owned (unencumbered),PhilSys-5002-7054,09427849808,rodriguezsierra@example.net,Mckee,Gardner Farm,"9053 56th Avenue Extension, Gladiola Cove 6, Dumaguete, 8422 Surigao del Norte",Rented,30,facebook.com/garciafarm,6.97,240814,188656,12,Weekly,Credit line,Acquisition of real estate,Secured Loan,Others,Asset Sale,Coconut,Mixed,Flood,Combination,Mulching,No,4,Yes,Coop Member,No training,Employs women,Manual,Organic,Supermarket,Barangay Clearance,16,13,9,14,14,66,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Stacey Russell,Separated,03/01/1970,Michelle Ville,Filipino,"2939 Milky Way Street, Mayoyao, 8416 Davao del Sur",Owned (mortgaged),PhilSys-8239-8007,09801128059,kristinrodriguez@example.org,Garrison,Walker Farm,"Block 10 Lot 30 4th Road Extension, Chico Grove Phase 2, Jose Dalman, 8838 Sulu",Owned (mortgaged),14,facebook.com/hicksfarm,2.15,423232,241182,12,Quarterly,Credit line,Purchase of equipment/motor vehicles,Unsecured Loan,Farm lot title,Savings,Corn,Transitioning to Organic,Flood,Organic,Composting,Yes,6,Yes,Coop Member,No training,Employs women,None,Fair Trade,Supermarket,Barangay Clearance,24,13,7,9,13,66,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
